[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:28] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:29] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now pixmap offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now ojb offset is: QSize(0, 0)
[2020-04-14 11:22:30] Debug: [] [0] now ojb offset is: QSize(0, 0)
